Name,Type,Nominal,Low tolerance,High tolerance,Meas 01,Meas 02,Meas 03,Meas 04,Meas 05,Meas 06,Meas 07,Meas 08,Meas 09,Meas 10,Meas 11,Meas 12,Meas 13,Meas 14,Mean,Standard deviation,Min value,Max value,Range,Status
GAP_F-G_4_BF,Point-Profile,0.0000,-0.1500,0.1500,-0.1975,-0.3972,-0.2234,-0.2784,-0.1389,-0.2571,-0.2559,-0.3060,-0.1467,-0.3386,-0.2569,-0.3275,-0.2183,-0.3503,-0.2638,0.0757,-0.1389,-0.3972,0.2583,14
GAP_F-G_5_BF,Point-Profile,0.0000,-0.1500,0.1500,-0.1570,-0.3470,-0.1822,-0.2393,-0.0989,-0.2134,-0.2160,-0.2642,-0.1197,-0.2968,-0.2175,-0.2823,-0.1809,-0.3100,-0.2232,0.0723,-0.0989,-0.3470,0.2481,14
GAP_F-G_6_BF,Point-Profile,0.0000,-0.1500,0.1500,-0.0246,-0.1239,-0.0415,-0.0709,0.0028,-0.0664,-0.0712,-0.0941,0.0125,-0.0947,-0.0542,-0.0798,-0.0366,-0.1098,-0.0609,0.0402,0.0125,-0.1239,0.1364,100
GAP_F-G_7_BF,Point-Profile,0.0000,-0.1500,0.1500,-0.0089,-0.0973,-0.0249,-0.0442,0.0241,-0.0446,-0.0462,-0.0704,0.0360,-0.0731,-0.0318,-0.0552,-0.0203,-0.0892,-0.0390,0.0388,0.0360,-0.0973,0.1333,100
FLUSH_A-B_1,X,574.2460,-0.5000,0.5000,574.2246,574.2211,574.2272,574.2209,574.2283,574.2237,574.2263,574.2256,574.2268,574.2243,574.2243,574.2251,574.2228,574.2215,574.2245,0.0023,574.2283,574.2209,0.0074,100
FLUSH_A-B_1,Y,-772.2160,-0.5000,0.5000,-772.4266,-772.9792,-772.5781,-772.7272,-772.3883,-772.6210,-772.7070,-772.8160,-772.3817,-772.8586,-772.6859,-772.8584,-772.5460,-772.8990,-772.6766,0.1947,-772.3817,-772.9792,0.5975,57
FLUSH_A-B_1,Z,798.0490,-0.5000,0.5000,798.7176,800.4850,799.2175,799.6908,798.6010,799.3476,799.6201,799.9665,798.5748,800.1103,799.5414,800.0956,799.1152,800.2167,799.5214,0.6203,800.4850,798.5748,1.9102,0
FLUSH_A-B_1,Point-Profile,0.0000,-0.5000,0.5000,0.7011,2.5529,1.2234,1.7196,0.5784,1.3604,1.6461,2.0093,0.5514,2.1592,1.5647,2.1451,1.1163,2.2729,1.5429,0.6501,2.5529,0.5514,2.0015,0
FLUSH_A-B_2,X,577.7600,-0.5000,0.5000,577.7697,577.7981,577.7766,577.7826,577.7690,577.7769,577.7823,577.7860,577.7726,577.7874,577.7820,577.7906,577.7763,577.7893,577.7814,0.0084,577.7981,577.7690,0.0291,100
FLUSH_A-B_2,Y,-761.3380,-0.5000,0.5000,-761.4826,-761.8368,-761.5784,-761.6769,-761.4624,-761.6061,-761.6626,-761.7255,-761.4470,-761.7628,-761.6538,-761.7636,-761.5659,-761.7794,-761.6431,0.1246,-761.4470,-761.8368,0.3898,100
FLUSH_A-B_2,Z,801.0830,-0.5000,0.5000,801.6843,803.1628,802.0989,802.4897,801.5925,802.1886,802.4281,802.6966,801.5642,802.8447,802.3799,802.8367,802.0337,802.9318,802.3523,0.5152,803.1628,801.5642,1.5986,7
FLUSH_A-B_2,Point-Profile,0.0000,-0.5000,0.5000,0.6185,2.1390,1.0441,1.4471,0.5245,1.1378,1.3839,1.6597,0.4934,1.8124,1.3350,1.8049,0.9778,1.9010,1.3056,0.5301,2.1390,0.4934,1.6456,7
FLUSH_A-B_3,X,569.7650,-0.5000,0.5000,569.7917,569.8087,569.7837,569.7955,569.7760,569.7824,569.7917,569.7835,569.7780,569.7843,569.7938,569.7996,569.7784,569.7909,569.7884,0.0092,569.8087,569.7760,0.0327,100
FLUSH_A-B_3,Y,-752.9810,-0.5000,0.5000,-753.0681,-753.2870,-753.1373,-753.1895,-753.0537,-753.1450,-753.1845,-753.2252,-753.0539,-753.2476,-753.1717,-753.2434,-753.1215,-753.2544,-753.1702,0.0771,-753.0537,-753.2870,0.2333,100
FLUSH_A-B_3,Z,803.0200,-0.5000,0.5000,803.4744,804.6274,803.8286,804.1327,803.4225,803.8872,804.0760,804.2849,803.3978,804.4013,804.0345,804.3968,803.7627,804.4536,804.0129,0.4012,804.6274,803.3978,1.2296,21
FLUSH_A-B_3,Point-Profile,0.0000,-0.5000,0.5000,0.4630,1.6367,0.8238,1.1324,0.4091,0.8828,1.0757,1.2883,0.3849,1.4069,1.0326,1.4019,0.7560,1.4596,1.0110,0.4085,1.6367,0.3849,1.2518,21
FLUSH_A-B_4,X,560.3280,-0.5000,0.5000,560.3378,560.3659,560.3416,560.3521,560.3348,560.3446,560.3523,560.3550,560.3370,560.3542,560.3471,560.3655,560.3388,560.3493,560.3483,0.0100,560.3659,560.3348,0.0311,100
FLUSH_A-B_4,Y,-751.1970,-0.5000,0.5000,-751.2652,-751.5069,-751.3308,-751.4087,-751.2622,-751.3508,-751.3963,-751.4337,-751.2552,-751.4701,-751.3874,-751.4600,-751.3199,-751.4775,-751.3803,0.0849,-751.2552,-751.5069,0.2517,100
FLUSH_A-B_4,Z,803.5010,-0.5000,0.5000,803.8321,805.0012,804.1431,804.5061,803.8138,804.2356,804.4516,804.6597,803.7903,804.7970,804.4127,804.7629,804.0838,804.8329,804.3802,0.4062,805.0012,803.7903,1.2109,21
FLUSH_A-B_4,Point-Profile,0.0000,-0.5000,0.5000,0.3381,1.5323,0.6560,1.0274,0.3195,0.7507,0.9715,1.1829,0.2951,1.3247,0.9315,1.2894,0.5957,1.3613,0.8983,0.4151,1.5323,0.2951,1.2372,21
FLUSH_A-B_5,X,554.5120,-0.5000,0.5000,554.3568,553.9996,554.2663,554.1903,554.3822,554.2114,554.1802,554.1117,554.3854,554.0644,554.2031,554.0952,554.2745,554.0360,554.1969,0.1261,554.3854,553.9996,0.3858,93
FLUSH_A-B_5,Y,-743.2350,-0.5000,0.5000,-742.9488,-742.3699,-742.8353,-742.6898,-743.0124,-742.7345,-742.6852,-742.5657,-743.0224,-742.4879,-742.7172,-742.5376,-742.8253,-742.4479,-742.7057,0.2077,-742.3699,-743.0224,0.6525,36
FLUSH_A-B_5,Z,801.1580,-0.5000,0.5000,801.2615,801.4685,801.3018,801.3521,801.2394,801.3392,801.3566,801.3984,801.2350,801.4271,801.3437,801.4090,801.3055,801.4418,801.3485,0.0744,801.4685,801.2350,0.2335,100
FLUSH_A-B_5,Point-Profile,0.0000,-0.5000,0.5000,0.3413,1.0522,0.4907,0.6621,0.2702,0.6113,0.6722,0.8161,0.2591,0.9116,0.6309,0.8504,0.4959,0.9627,0.6448,0.2541,1.0522,0.2591,0.7931,36
FLUSH_A-B_6,X,548.9170,-0.5000,0.5000,548.8662,548.6648,548.8058,548.7457,548.8808,548.7605,548.7371,548.7097,548.8913,548.6860,548.7562,548.7183,548.7987,548.6752,548.7640,0.0750,548.8913,548.6648,0.2265,100
FLUSH_A-B_6,Y,-744.0970,-0.5000,0.5000,-744.0011,-743.6880,-743.9125,-743.8387,-744.0301,-743.8516,-743.8023,-743.7582,-744.0372,-743.7277,-743.8359,-743.7658,-743.9018,-743.7071,-743.8470,0.1165,-743.6880,-744.0372,0.3492,100
FLUSH_A-B_6,Z,792.5620,-0.5000,0.5000,792.5912,792.6828,792.6155,792.6408,792.5825,792.6366,792.6511,792.6626,792.5783,792.6736,792.6408,792.6579,792.6197,792.6771,792.6365,0.0347,792.6828,792.5783,0.1045,100
FLUSH_A-B_6,Point-Profile,0.0000,-0.5000,0.5000,0.1120,0.4954,0.2219,0.3198,0.0786,0.3005,0.3565,0.4097,0.0663,0.4496,0.3166,0.3978,0.2353,0.4730,0.3024,0.1428,0.4954,0.0663,0.4291,100
FLUSH_A-B_1_BF,Point-Profile,0.0000,-0.2000,0.2000,0.3836,1.3712,0.6592,0.9167,0.3025,0.7419,0.8837,1.0867,0.2916,1.1524,0.8333,1.1453,0.5998,1.2229,0.8279,0.3491,1.3712,0.2916,1.0796,0
FLUSH_A-B_2_BF,Point-Profile,0.0000,-0.2000,0.2000,0.2929,0.9289,0.4666,0.6256,0.2420,0.5037,0.6029,0.7149,0.2274,0.7812,0.5861,0.7815,0.4483,0.8255,0.5734,0.2219,0.9289,0.2274,0.7015,0
FLUSH_A-B_3_BF,Point-Profile,0.0000,-0.2000,0.2000,0.1323,0.4085,0.2378,0.2991,0.1225,0.2386,0.2830,0.3293,0.1150,0.3600,0.2727,0.3637,0.2183,0.3677,0.2677,0.0959,0.4085,0.1150,0.2935,21
FLUSH_A-B_4_BF,Point-Profile,0.0000,-0.2000,0.2000,0.0092,0.3103,0.0729,0.1981,0.0343,0.1100,0.1828,0.2288,0.0265,0.2832,0.1754,0.2563,0.0609,0.2750,0.1588,0.1050,0.3103,0.0092,0.3011,64
FLUSH_A-B_5_BF,Point-Profile,0.0000,-0.2000,0.2000,0.1932,0.5222,0.2418,0.3131,0.1485,0.3177,0.3255,0.3995,0.1448,0.4532,0.3047,0.4120,0.2552,0.4822,0.3224,0.1198,0.5222,0.1448,0.3774,21
FLUSH_A-B_6_BF,Point-Profile,0.0000,-0.2000,0.2000,-0.0196,0.0261,0.0019,0.0120,-0.0289,0.0387,0.0490,0.0405,-0.0346,0.0430,0.0280,0.0109,0.0212,0.0464,0.0168,0.0280,0.0490,-0.0346,0.0836,100
GAP_A-B_1,X,545.7120,-0.5000,0.5000,546.1816,546.0315,546.1662,546.0622,546.1867,546.1642,546.0971,546.0622,546.1762,546.0678,546.1067,546.0629,546.1871,546.0507,546.1145,0.0592,546.1871,546.0315,0.1556,100
GAP_A-B_1,Y,-748.1210,-0.5000,0.5000,-747.8688,-747.9363,-747.8771,-747.9307,-747.8680,-747.8778,-747.9139,-747.9266,-747.8770,-747.9349,-747.8993,-747.9324,-747.8596,-747.9393,-747.9030,0.0304,-747.8596,-747.9393,0.0797,100
GAP_A-B_1,Z,791.8320,-0.5000,0.5000,791.5672,791.6441,791.5783,791.6336,791.5656,791.5792,791.6130,791.6339,791.5726,791.6355,791.6056,791.6314,791.5615,791.6406,791.6044,0.0322,791.6441,791.5615,0.0826,100
GAP_A-B_1,Point-Profile,0.0000,-0.5000,0.5000,-0.5952,-0.4139,-0.5746,-0.4452,-0.6003,-0.5723,-0.4890,-0.4468,-0.5851,-0.4470,-0.5061,-0.4460,-0.6060,-0.4294,-0.5112,0.0738,-0.4139,-0.6060,0.1921,50
GAP_A-B_2,X,550.3510,-0.5000,0.5000,550.9312,550.8740,550.8446,550.7896,550.8971,550.8733,550.8346,550.8341,550.8741,550.8480,550.8375,550.8257,550.8714,550.8701,550.8575,0.0345,550.9312,550.7896,0.1416,50
GAP_A-B_2,Y,-747.6450,-0.5000,0.5000,-747.3475,-747.3719,-747.3959,-747.4192,-747.3687,-747.3809,-747.4004,-747.3890,-747.3682,-747.3917,-747.3969,-747.4033,-747.3764,-747.3693,-747.3842,0.0186,-747.3475,-747.4192,0.0717,100
